ra,dec,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,ref_epoch,pmra,pmdec,parallax,radial_velocity
57.06655914536854,22.712593617365968,19.785574,229.46538318449916,1.1687499,2016.0,-8.01531239692114,-9.596819366248203,-0.07573728559997686,
57.077778935263794,22.775065723716654,19.96175,195.09528516842943,1.0044658,2016.0,3.6000260905965478,-7.480560115099385,1.5414283716427308,
57.075978019197706,22.766699003571368,20.99324,75.44844549996552,1.253579,2016.0,,,,
57.107198842427685,22.802445020189975,20.12422,167.98057267723877,0.97279525,2016.0,-0.8159515604427267,-1.260250827117666,0.32489104183971124,
57.415458597196285,22.870756535100348,19.578909,277.5769389916262,0.82674307,2016.0,3.5120998927854457,-1.2609188835588585,0.3112669042928371,
57.36696416210021,22.88676537958236,21.086002,69.27007974527221,1.3344831,2016.0,,,,
57.39269099451117,22.898400721106192,18.583546,694.2697110991273,1.1176753,2016.0,4.576152405421101,-9.334170152121303,1.2037107383054857,
57.23870707893866,22.77962171893525,16.97565,3052.7186867745745,2.3942332,2016.0,4.577564512427659,-6.716554977879328,0.91584803579947,
57.194574878115226,22.78010233808957,20.477144,121.3638701975985,1.0464602,2016.0,-3.1615941024650747,-2.590131940123895,0.23156341684621162,
57.21231238131061,22.787000118259947,14.956192,19609.660671331763,5.5683327,2016.0,1.018198546818553,-6.290965901054597,0.7259270734726737,
57.26107898919688,22.864481837767954,18.504768,746.5170691221491,1.2862417,2016.0,20.434093582209908,-1.2270164507539627,0.7547381333325051,
57.216971877006266,22.849171966060446,19.548815,285.37799903688244,1.0387164,2016.0,3.3882727012550675,-6.26759962766148,0.3522507097866888,
57.214703545737336,22.840938938682825,20.827892,87.85975491567861,1.1273001,2016.0,7.078984211198457,-2.2869698316306772,1.978068905496102,
57.21770125997852,22.832840560404996,19.313654,354.392798345695,1.1262659,2016.0,5.105666726166226,-5.86521072435451,0.069569145493137,
57.20906028283548,22.851023507512654,20.425116,127.32124307989041,0.95439106,2016.0,4.378201181970789,0.28395937137261373,-0.860029344518475,
57.237991288431104,22.878308693390068,18.724,610.0234575393303,1.291879,2016.0,1.6487378740062049,-4.188342819265414,0.35014406952861027,
57.219737996265344,22.891031332715002,19.676218,253.78128454834064,1.9132845,2016.0,,,,
57.30648944866053,22.885757024126324,20.56476,111.95485826710222,0.7400297,2016.0,6.304549800536863,-12.954755091631403,1.030258186005703,
57.473556873573855,22.903879620189805,19.282505,364.70726977170074,0.8530041,2016.0,2.2552295202268935,-0.3453596181887431,-0.17474594696181234,
57.461824732940556,22.926560717200758,20.38589,132.00511105842273,0.73040193,2016.0,-2.3301887258037226,0.7552764293440808,1.4428521339373213,
57.49081191340883,22.93475396000914,19.827734,220.725742760564,0.7801807,2016.0,1.4146624136863064,0.34235326534430044,0.19704125905549244,
57.421575476189574,22.959655219208972,18.107185,1076.6448187220806,1.2655164,2016.0,5.730426532707369,1.2107049684391002,0.46717432204860676,
57.4613387608292,22.98009603191352,21.063293,70.73419439815652,1.7220142,2016.0,,,,
57.447186900360755,22.998014148504033,20.171635,160.80241062704476,0.71508753,2016.0,2.2042067005619965,-2.344942891546629,0.3628045670017016,
57.3147274961358,22.99833052437973,21.023172,73.39692129348843,1.0702755,2016.0,,,,
57.34155156393632,23.007062025469423,17.937595,1258.6612969967896,1.9172776,2016.0,-10.887915357047747,-37.957088085567285,4.103633933179308,
57.3691381419439,23.041936066652582,20.598068,108.57237706234905,0.7395845,2016.0,-3.266708735776115,-1.511318115986552,1.953453508344006,
57.47115881354674,23.014857902717438,20.177855,159.88400411214275,0.72074944,2016.0,0.3428955378045139,-0.16853516784875075,0.4742412680668396,
57.4721785351077,23.02239493060936,19.91015,204.59092147601382,1.1549348,2016.0,2.119905010313908,-6.707167521897092,-0.10612442279939455,
57.51560329314919,23.034019373088867,20.461313,123.14632098611203,1.2503074,2016.0,5.46416264901525,-4.945511611901006,1.551627947988476,
57.51374672185889,23.063825270599093,21.087727,69.16020330375709,1.3986416,2016.0,,,,
57.50952531148847,23.08764270075758,18.278784,919.2486806346493,1.1463288,2016.0,3.725213944928988,-5.401949722537682,0.45627593575449454,
57.395905716315504,23.073678736532163,19.23487,381.0645408869902,0.9041988,2016.0,0.16328350224830487,-0.16328280241421367,-0.05004882921034436,
57.71112805544913,23.07715444960039,19.395557,328.64249277919976,0.81525,2016.0,-1.8273698460164391,-2.294264448265322,0.8406520380969604,
57.64010432122603,23.07586135451643,21.12678,66.7167208975806,0.97762513,2016.0,,,,
57.624547188573885,23.115236428779447,21.026234,73.19028760833562,1.030901,2016.0,,,,
57.653085348703755,23.145860674987677,19.88904,208.6078960499983,0.74539685,2016.0,0.4967895727085895,-0.22244424190193246,-0.1597574935766104,
57.73554437205745,23.09278319721615,19.92758,201.3327543061715,1.1585131,2016.0,-6.657964092218716,-5.872968219795325,1.0094629521177676,
57.755599755706314,23.13559578017302,20.521088,116.54983003662724,1.3748293,2016.0,5.525767861724892,0.5604537408170298,-1.8076224046089515,
57.72870512370105,23.12957237821024,16.746492,3770.0739859197533,1.8809592,2016.0,-1.6301022910676122,-2.4710124261157675,0.2730656741077503,
57.78209008523185,23.13962398228408,17.516129,1855.645433820966,1.4604485,2016.0,1.803300702967206,-1.3226920076824469,0.9493731167351106,
57.79242691715088,23.166278430570856,15.550043,11348.261960472288,3.0394769,2016.0,7.213976923427087,-5.649547110497123,1.2634707428893384,
57.747804184912304,23.180884710103975,17.408638,2048.7626501598616,1.5231564,2016.0,1.9860717578904303,-2.3513046214275297,0.1013975053388112,
57.58886377465197,23.09614480790089,11.16862,641946.0571734732,382.97073,2016.0,19.608488750151913,-46.559026755660526,7.505850970004721,6.902026
57.595161232130934,23.12229959713417,19.241213,378.8449244135719,0.7483674,2016.0,0.7737592243366224,-0.1239261557289647,-0.08735420554535832,
57.600195838124975,23.172438772899735,20.962187,77.63756526074395,1.0739498,2016.0,,,,
57.50145225418636,23.167487939497455,20.648663,103.62903406194987,0.86488336,2016.0,2.262284387307786,-5.017482279587652,0.2135322026850983,
57.586259546961976,23.193134660566805,20.435907,126.06194696399973,0.96746325,2016.0,-0.5016253446746565,-1.6781377536003765,-1.0599756531359514,
57.55910472863562,23.210455164300367,18.137201,1047.2890197544957,1.2265415,2016.0,22.245759102405017,-28.30243605910566,2.4484663640739623,
57.66222912452411,23.21722758953147,15.392325,13122.503279459574,5.9451256,2016.0,18.264910026129144,-45.37654930409289,7.301312904999704,
57.72323887430812,23.243511733282833,21.354136,54.11184174661811,2.0897288,2016.0,,,,
57.707002791246005,23.24712592838782,19.701443,247.95299025869923,1.7357224,2016.0,,,,
57.59861907921,23.255919748044047,20.222343,153.46509643941042,0.6513763,2016.0,-0.43197343732927973,-0.6938712382833623,0.15164092569056015,
56.92517945561395,22.69515170970209,19.019432,464.70093919490233,1.0852118,2016.0,0.3977150436368455,-4.625721184931213,0.6425318995721521,
56.824976750620614,22.695615124125457,19.6683,255.63870313115146,1.0245563,2016.0,-0.03962747676672618,-0.9935774282228398,0.5941899025930684,
56.87206535896615,22.73931913962579,18.292526,907.686822152104,1.4683464,2016.0,1.5017797807868782,-0.6253654148404278,1.3983309183317154,
56.73973392165886,22.68988084115474,16.596413,4328.943826223316,2.7202466,2016.0,0.18613806062542004,-4.968174445218557,0.30349098574814615,
56.77551599326735,22.70801971230647,18.4593,778.4429289349546,1.5591855,2016.0,-2.024990769685731,-6.075726828539159,0.5992414516554014,
56.803104878388055,22.755129852286128,18.719952,612.3023822818496,1.2563136,2016.0,-0.7008099479338918,0.4733845457860258,0.19459415421062012,
56.82002859859994,22.77741001327697,20.735735,95.64287025090738,1.0892694,2016.0,,,,
56.7834314087127,22.77860028204288,20.43788,125.83304450395525,0.96024346,2016.0,-0.539288113099835,-2.43846885168489,-1.3337483654504503,
56.79235834823405,22.796451008919057,20.79599,90.47966553403845,2.0095372,2016.0,,,,
56.55210381908546,22.652777463225522,19.389812,330.38592350432054,3.508825,2016.0,-2.9897079915174873,10.325707370620561,1.8818918192573255,
56.51760759507239,22.672781929082102,19.72987,241.5455608859649,1.0419573,2016.0,0.35482869738783684,-0.7825451441732418,0.7078158966999366,
56.51505866848482,22.74725413550758,15.719751,9706.13518825269,4.164385,2016.0,0.4254750366549127,-5.666761204040073,0.9567348027599818,
56.40492086750906,22.65714932892264,20.306469,142.0231144394862,0.9791951,2016.0,-0.9013790868682969,-1.5274454836395945,-0.45691382009482373,
56.36745984924797,22.678686702175646,17.964031,1228.3848772479284,2.1392953,2016.0,2.009666758057727,-7.812443417297488,0.9234450779431328,
56.46593802808606,22.7495960700424,21.112144,67.6221980110864,1.7151451,2016.0,,,,
56.4662995494923,22.760391509095065,19.988026,190.43056750591572,1.0226128,2016.0,0.6191374530614828,-3.4822615082946875,0.7951339857945666,
56.474873933227386,22.77417681215104,18.345959,864.0987593279584,1.856788,2016.0,10.771490395472963,-13.401795137145022,2.086684209453342,
56.41107123430763,22.767969666145476,18.03485,1150.818918103976,1.6410854,2016.0,-0.4316383278192461,-0.9541647012211787,0.3012593123796752,
56.45491081547502,22.79896676802999,20.43875,125.73239523825804,1.091461,2016.0,-1.2126355430744815,-5.310641510981595,0.205182871788968,
56.63870213790167,22.761412609722147,18.341381,867.7487603251003,1.729875,2016.0,7.463541175286755,-5.913677379325488,1.115357234185328,
56.6489154540266,22.765678161264336,20.708147,98.10429441005518,1.1860574,2016.0,14.400414485146044,-29.013848734315996,2.899427866379759,
56.65304825394188,22.773488137973043,19.075136,441.4609656192212,1.1719686,2016.0,-0.6256764258208938,-1.824512823016931,-0.36802111374665064,
56.654708376387006,22.77383629389768,20.809788,89.33703139640258,1.0989935,2016.0,2.418912617512713,-7.034764414127605,3.2357831366091934,
56.60134340795844,22.795152392155615,17.959967,1232.9919966504035,1.7075603,2016.0,2.873104082799485,-0.8511631591112632,0.2646499860811956,
56.7563520960825,22.838932089849138,19.89598,207.27840364915562,1.1418133,2016.0,12.783377733356176,-4.849261126639003,0.8619722276306725,
56.724487449726354,22.82874769584063,19.403738,326.17540932253297,1.1472223,2016.0,1.230190254197248,0.3427568235090678,0.4369001820691211,
56.63621888951378,22.803675515615407,20.42614,127.20103514451577,1.0330453,2016.0,-9.465848569836963,-9.417388652327778,2.0375798056577863,
