ra,dec,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error,ref_epoch,pmra,pmdec,parallax,radial_velocity
129.98707834244246,18.12830500330873,19.106112,429.04464574111444,1.1438235,2016.0,1.9785670216994529,1.4257046803147504,1.3211072177906764,
130.05859582034884,18.13594917911115,20.067844,176.9330861412409,0.7553656,2016.0,-2.528322401333841,-2.71845881676431,0.39956364579396636,
130.41405531412443,18.182145112784305,16.798294,3594.422401352516,1.9132355,2016.0,-4.39416795786322,-2.458211730714271,0.7585194599359693,
130.43213171054637,18.174877779355526,21.055195,71.26378529383496,1.23088,2016.0,,,,
130.56405710523305,18.242874398806663,20.748037,94.56523415799461,0.7865406,2016.0,-2.659123907998114,-0.1591456850212675,0.45501711835003844,
130.49912368176953,18.229528468406503,18.595968,686.3717451603549,1.0359664,2016.0,0.9603015063615172,-4.890971203888461,0.3496954253535762,
130.51358574558458,18.246230239892135,19.306314,356.79708457481263,0.82407427,2016.0,10.937176630260875,-17.705644399131128,1.5065134566448477,
130.4970166900256,18.26770576384901,20.98884,75.75487228177832,1.5074489,2016.0,,,,
130.62536189580626,18.29596039487142,19.839521,218.34237640525294,0.83250666,2016.0,-1.6241787332362558,-1.8996466681495479,0.7747266587981742,
130.56971242094977,18.258368391908707,19.885,209.3856922937649,0.66480255,2016.0,-2.648438120144422,0.5387190139443807,-0.4364532759908393,
130.5763273143627,18.276109725543403,19.50441,297.2919177761419,0.8073482,2016.0,5.19316272025406,-10.228704009993997,0.5698966201478848,
130.320744463738,18.176933717445454,19.73569,240.2542559048586,0.87439847,2016.0,-4.079939683132197,5.590559070776022,0.7664652181639079,
130.34567680666973,18.19002322698999,19.240005,379.2667865719534,0.99638903,2016.0,-5.579270100353967,-3.1571426706193817,0.7873302399229276,
130.31062602322612,18.19222463433235,16.228344,6075.879261685474,2.365824,2016.0,-11.569120839724025,4.988836411944217,0.9462076980258577,
130.3421480751065,18.21082573434235,18.358524,854.1556047726374,1.1356237,2016.0,-23.576828062772,-30.711366585249454,1.7534604418062139,
130.31831178107979,18.25364689597253,19.695324,249.3543112743317,0.7932785,2016.0,-1.0244744279970206,-17.097362161859973,1.4107179653911137,
130.1773839825486,18.221686562470413,16.628517,4202.814942423464,2.4735532,2016.0,1.782973896613251,-8.944116473885098,0.33470743264303776,
130.14885724226625,18.26228065176847,19.269981,368.9387363901336,1.1760906,2016.0,-2.7265522554229333,-1.4042239064303237,0.8639482025215137,
