ra,dec,mag,pmra,pmdec,parallax
130.0265742163401,20.007734072559423,6.152467,-35.65371225993459,-12.018862731986623,5.421853012509597
130.09185584769432,19.669874772273747,6.176117,-36.23716977115824,-13.881460649047737,5.410565568855176
130.11237090028794,19.544758383359664,6.2683663,-36.29259374222769,-12.133351601756733,5.383632218724936
129.9611512419941,19.54075056112038,6.3946414,-34.616807568705866,-13.601153453611092,5.947743759747741
128.83086252999053,19.59000897460693,6.4156747,-34.55415693553827,-12.390916598093373,5.353842285304585
130.04755306468905,19.971074389320254,6.5987887,-35.154365209678474,-13.462606199818818,5.378440904619187
129.92755273931903,19.778396997311283,6.6092005,-36.75742924630642,-12.92865704954437,5.487587613506006
129.4446825023464,19.26716205747441,6.6995006,-34.56441930439464,-12.996066097635447,5.469810309588374
130.23439312909014,19.580279849536424,6.743771,-35.63581811263532,-13.807738346533357,5.452030494514453
130.1798531089657,19.719261819614488,6.8043456,-35.94634199085495,-11.854366342627394,5.355951886118715
129.77528360460042,19.676756881213873,7.3830824,-35.37339778864664,-13.035400985478633,5.300880621877432
129.07251472849214,20.34144598200539,7.4582815,-34.50627594344463,-13.270706484068157,5.48823891007088
128.93763033023686,19.771102437884643,7.4599524,-35.79780860340085,-13.045347965629814,5.594003640596384
129.9905402852347,19.541420575364736,7.5015326,-35.28531309245936,-13.047255661484844,5.403336785707
130.07523317524996,19.53193603950714,7.51539,-36.250804768067944,-12.118188328434929,5.410258093181366
129.93593344469824,19.275160498457495,7.6315365,-35.88042065838316,-12.140085754075145,5.5286245027688325
130.08628118607928,19.6866770511534,7.667654,-35.68738263966356,-12.850590232303354,5.415197004897787
129.4039801251685,19.732858477918516,7.7355924,-38.72253381422416,-13.776233154208644,5.313427047105813
130.16333282989208,19.22823550345473,7.770761,-30.220840483426223,-12.51952959326357,5.706712040665592
129.928099886502,20.0861759404725,7.9167933,-31.956579156077055,-10.762581019028861,5.706446802074514
