389.50000   391359.93750
389.50522   402462.50000
389.51044   407993.21875
389.51566   403052.78125
389.52084   396670.18750
389.52606   396964.09375
389.53128   400339.12500
389.53650   393152.46875
389.54172   395102.31250
389.54694   400505.65625
389.55215   400331.68750
389.55737   399568.50000
389.56256   396514.34375
389.56778   397324.62500
389.57300   344468.68750
389.57822   483603.62500
389.58344   445667.21875
389.58865   428954.87500
389.59387   400224.15625
389.59906   410640.15625
389.60428   392209.75000
389.60950   403148.03125
389.61472   396711.28125
389.61993   393649.21875
389.62515   400874.34375
389.63037   397406.34375
389.63556   397616.93750
389.64078   399647.46875
389.64600   399297.43750
389.65121   397608.87500
389.65643   403970.93750
389.66165   399055.12500
389.66687   400770.87500
389.67209   399109.15625
389.67728   396458.18750
389.68250   390570.62500
389.68771   398737.68750
389.69293   403265.71875
389.69815   407343.50000
389.70337   401765.15625
389.70859   400592.21875
389.71378   394418.62500
389.71899   402451.56250
389.72421   399582.06250
389.72943   399215.56250
389.73465   400241.59375
389.73987   403208.09375
389.74509   403602.96875
389.75031   393573.53125
389.75549   402791.40625
389.76071   395533.12500
389.76593   409803.34375
389.77115   404039.96875
389.77637   399471.68750
389.78159   396653.87500
389.78680   397009.03125
389.79199   398789.18750
389.79721   389213.25000
389.80243   398945.75000
389.80765   401561.71875
389.81287   400087.31250
389.81808   398467.31250
389.82330   396271.00000
389.82849   397869.43750
389.83371   405130.65625
389.83893   398400.84375
389.84415   402087.15625
389.84937   398450.75000
389.85458   400113.50000
389.85980   402681.87500
389.86502   405260.65625
389.87021   397860.21875
389.87543   399035.87500
389.88065   403204.93750
389.88586   402095.03125
389.89108   399689.90625
389.89630   402697.71875
389.90152   397747.00000
389.90671   399373.96875
389.91193   407751.34375
389.91714   422475.00000
389.92236   421589.65625
389.92758   422070.53125
389.93280   408276.18750
389.93802   398175.00000
389.94324   399335.31250
389.94843   410764.25000
389.95364   399682.40625
389.95886   402590.12500
389.96408   401692.90625
389.96930   401493.71875
389.97452   397643.68750
389.97974   400390.34375
389.98492   407221.87500
389.99014   405465.18750
389.99536   391101.53125
390.00058   404226.18750
390.00580   398957.31250
390.01102   401984.18750
390.01624   406106.78125
390.02142   400990.25000
390.02664   398449.25000
390.03186   401544.93750
390.03708   405679.96875
390.04230   423993.46875
390.04752   435620.90625
390.05273   442443.06250
390.05795   401173.25000
390.06314   401310.00000
390.06836   404906.81250
390.07358   411567.09375
390.07880   398938.00000
390.08401   401975.68750
390.08923   398125.37500
390.09445   408136.84375
390.09964   399677.68750
390.10486   408105.15625
390.11008   407504.75000
390.11530   406842.62500
390.12051   407875.50000
390.12573   405315.53125
390.13095   408924.56250
390.13617   405829.06250
390.14136   406018.56250
390.14658   403854.09375
390.15179   401966.78125
390.15701   403729.00000
390.16223   401335.87500
390.16745   403164.93750
390.17267   402778.43750
390.17786   404702.15625
390.18307   405684.37500
390.18829   408482.40625
390.19351   400651.12500
390.19873   404168.65625
390.20395   408331.90625
390.20917   395731.40625
390.21436   403817.59375
390.21957   402174.09375
390.22479   411297.50000
390.23001   404373.59375
390.23523   405107.71875
390.24045   405867.28125
390.24567   410234.25000
390.25089   408733.12500
390.25607   400649.12500
390.26129   411581.34375
390.26651   406517.96875
390.27173   407505.56250
390.27695   407479.71875
390.28217   408107.81250
390.28738   405371.34375
390.29257   405446.71875
390.29779   409715.93750
390.30301   410456.43750
390.30823   409512.56250
390.31345   404930.71875
390.31866   401120.28125
390.32388   406248.12500
390.32907   404124.96875
390.33429   409403.84375
390.33951   409631.25000
390.34473   400192.93750
390.34995   401724.15625
390.35516   400670.06250
390.36038   407228.31250
390.36560   406237.46875
390.37079   406317.68750
390.37601   408368.75000
390.38123   401140.62500
390.38644   396317.37500
390.39166   399561.06250
390.39688   410572.53125
390.40210   404889.53125
390.40729   402805.65625
390.41251   407787.71875
390.41772   413282.34375
390.42294   404961.56250
390.42816   407590.56250
390.43338   410045.84375
390.43860   413772.31250
390.44382   409093.15625
390.44901   411768.21875
390.45422   411170.09375
390.45944   407342.18750
390.46466   405170.56250
390.46988   402654.09375
390.47510   408085.53125
390.48032   404123.25000
390.48550   405559.87500
390.49072   405942.03125
390.49594   410600.37500
390.50116   408723.56250
390.50638   405347.50000
390.51160   409579.09375
390.51682   406472.71875
390.52200   408860.21875
390.52722   414605.12500
390.53244   412018.78125
390.53766   408714.34375
390.54288   408252.09375
390.54810   405950.00000
390.55331   406608.06250
390.55853   405031.81250
390.56372   404325.12500
390.56894   411911.03125
390.57416   399233.03125
390.57938   409071.34375
390.58459   406881.43750
390.58981   403243.71875
